cb	mojikyo	entity	uni_flag	unicode	nor_unicode	des	nor	cx
14012						[咒-几+今]		
14013						[竺-二+園]		
14014						[阿-可+軍]		
14015						[阿-可+童]		
14016			0	3FCD		[病-丙+解]	疥	
14017			0	479F		[起-巳+白]		
14018			0	2805C		[跳-兆+扶]	趺	
14019						[跳-兆+絡]		
14020			0	2A2FE		[麩-夫+力]		
14021						[操-品+弟]		
14022						[璺-玉+至]		
14023						[口*(黎-ㄉ+刀)]		
14024						[口*(聲-耳+正)]		
14025						[火*(甬-用+田)]		
14026						[矢*(堇-王+工)]		
14027						[糸*(穴/ㄙ/心)]		
14028			0	248A6		[狂-王+(穩-禾)]		
14029						[垠-日+(亨-了)]		
14030			1		999B	[香*(犮-乂+又)]		
14031						[噙-离+(恭-共)]		
14032			0		22CD7	[操-品+(歹*歹)]	磔	
14033						[薩-產+(米/舛)]		
14034						[木*((└@口)/目)]		
14035						[口*糸*(十/甲/寸)]		
14036						[示*(篾-戍+(冗-几+伐))]		
14037			0	26D08		[卄/若]	若	
14038			1	84A5		[卄/留]		
14039						[卄/眠]		
14040			0	26EA6		[卄/寒]		
14041			0	3619		[口*嚴]		
14042						[土*柔]		
14043						[土*衰]		
14044						[女*數]		
14045						[山*薜]		
14046						[山*冘]		
14047						[山/瓦]		
14048						[日*亦]		
14049						[日*府]		
14050						[曰/離]		
14051			0	443F		[月*奧]		
14052						[木*昴]		
14053						[火*日]		
14054			1	73A7		[王*允]		
14055						[王*答]		
14056			1	757C		[田*昜]		
14057			0	2541E		[石*亡]		
14058			0		25730	[示*麗]		
14059						[糸*克]		
14060			0	2603D		[糸*告]	結	
14061			0	26166		[糸*替]		
14062						[糸*象]		
14063			0	27A21		[言*君]		
14064			0	27A9E		[言*盍]		
14065			0	27B91		[言*闒]		
14066			0	2B38F		[貝*于]		
14067						[貝*蒙]		
14068						[身*力]		
14069			0	4ACF		[其*頁]		
14070			0	254CA		[析/石]		
14071			0	4A22		[雨/甚]	霮	
14072			1	9B63		[魚*予]	鱮	
