cb	mojikyo	entity	uni_flag	unicode	nor_unicode	des	nor	cx
		imacron	1	012B		[-/i]	ii	
		uacute	1	00FA		[′/u]	`u	
		ucirc	1	00FB		[^/u]	^u	
	M063068	udiaeresis	1	00FC		[‥/u]	‥u	
		Amacron	1	0100		[-/A]	AA	
		Cdotabv	1	010A		[./C]	^C	
	M063013		1	010D		[ˇ/c]		
	M063021		1	0115		[ˇ/e]		
			1	016D		[ˇ/u]		
	M062937	Imacron	1	012A		[-/I]		
		ntilde	1	00F1		[~/n]	~n	
		Omacron	1	014C		[-/O]	OO	
	M063055	omacron	1	014D		[-/o]		
		Sacute	1	015A		[′/S]	`S	
		sacute	1	015B		[′/s]	`s	
	M062962		1	0160		[ˇ/S]		
		Umacron	1	016A		[-/U]	UU	
		umacron	1	016B		[-/u]	uu	
			1	0119		ę		
		atilde	1	00E3		[~/a]	~a	
		Adiaeresis	1	00C4		[‥/A]	‥A	
	M062914	Ccedilla	1	00C7		Ç		
	M062917	Eacute	1	00C9		[′/E]	`E	
		Ntilde	1	00D1		[~/N]	~N	
		Odiaeresis	1	00D6		[‥/O]	‥O	
	M062968	Udiaeresis	1	00DC		[‥/U]	‥U	
		agrave	1	00E0		[`/a]		
	M063051	odiaeresis	1	00F6		[‥/o]	‥o	
		acirc	1	00E2		[^/a]	^a	
		oacute	1	00F3		[′/o]	`o	
	M063051	adiaeresis	1	00E4		[‥/a]	‥a	
	M063014	ccedilla	1	00E7		ç		
		egrave	1	00E8		[`/e]		
	M063017	eacute	1	00E9		[′/e]	`e	
	M063020	ecirc	1	00EA		[^/e]	^e	
		ediaeresis	1	00EB		[‥/e]	‥e	
		iacute	1	00ED		[′/i]	`I	
		cdotabv	1	010B		[./c]	^c	
	M063001	aacute	1	00E1		[′/a]	`a	
		ndotblw	1	1E47		[n/.]	.n	
		amacron	1	0101		[-/a]	aa	
		cdotblw	1			[c/.]	.c	
		Cdotblw	1			[C/.]	.C	
		udotblw	1	1EE5		[u/.]	.u	
		adotblw	1	1EA1		[a/.]	.a	
		tdotblw	1	1E6D		[t/.]	.t	
		Tdotblw	1	1E6C		[T/.]	.T	
		sdotblw	1	1E63		[s/.]	.s	
		Sdotblw	1	1E62		[S/.]	.S	
		rdotblw	1	1E5B		[r/.]	.r	
	M062986		1	017D		[ˇ/Z]		
		Rdotblw	1	1E5A		[R/.]	.R	
		Ndotblw	1	1E46		[N/.]	.N	
		hdotblw	1	1E25		[h/.]	.h	
		Gacute	1	01F4		[′/G]	`G	
		Bdotblw	1	1E04		[B/.]	.B	
		Ddotblw	1	1E0C		[D/.]	.D	
		Hdotblw	1	1E24		[H/.]	.H	
		kdotblw	1	1E33		[k/.]	.k	
		Ldotblw	1	1E36		[L/.]	.L	
		ldotblw	1	1E37		[l/.]	.l	
		mdotabv	1	1E41		[./m]	^m	
		mdotblw	1	1E43		[m/.]	.m	
		Ndotabv	1	1E44		[./N]	^N	
		ndotabv	1	1E45		[./n]	^n	
		ddotblw	1	1E0D		[d/.]	.d	
00001	M016085	M016085	1	6B35		[肄-聿+欠]	款	
00002	M024824	M024824	1	9834		[(匕/示)*頁]	穎	
00003	M067838	M067838				[(工*刀)/言]	辯	
00004	M043491	M043491	1	982E		[(水/廾)*頁]	沬	
00005	M067839	M067839				[(牙*ㄉ)/里]		
00006	M021123	M021123	0	249B2		[(王*巨)/木]	璩	
00007	M011004	M011004	1	6133		[(目*目)/心]	懼	
00008	M003167	M003167	1	53DC		[(宋-木)/火/又]	叟	
00009	M072742	CB0009	0		21EB2	[阿-可+(山/(峻-山))]	峻	
00010	M013604	M013604	1	65B5		[(留-田+亞)*斤]	斲	
00011		CB0011				[(索-糸)/石/木]		
00012	M013531	M013531	0	3ABA		[(爽-(爻*爻)+(目*目))*斗]		
00013	M011112	M011112	1	6164		[(殼-一)/心]	愨	
00014	M067296	M067296	0	246D3		[(殼-一)/牛]		
00015	M047246	M047246	0	2A131		[(嫡-女)*鳥]		
00017	M048950	M048950	1	5350		[?卍]		
00018	M007435	M007435	1	5C05		[兙-十+寸]	剋	
00019	M048760	M048760	0	2A654		[〦/(刀*ㄚ*(留-刀-田))/齒]		
00020	M009594	M009594	1	5F03		[〦/弁]	棄	
00021	M072750	CB0021				[卄/(仁-二+(公/几))]		
00022	M067840	M067840				[卄/(束*束)]	蕀	
00023	M030668	M030668	1	8289		[卄/干]		
00024	M031454	M031454	1	8471		[卄/匆/心]	蔥	
00025	M056153	M056153	1	82FD		[卄/瓜]		
00026	M030820	M030820	1	82F7		[卄/甘]		
00027	M055535	M055535	1	8385		[卄/位]	蒞	
00028	M031017	M031017	1	8382		[卄/別]		
00029	M031263	M031263	0	26C55		[卄/呵]		
00030	M055569	M055569	1	8420		[卄/朋]	萌	
00031	M031168	M031168	1	83D3		[卄/果]	果	
00032	M053196	M053196	1	8488		[卄/皆]		
00033	M059897	M059897	1	84DE		[卄/舀]	萏	
00034	M031598	M031598	1	84AD		[卄/芻]	芻	
00035	M054030	M054030	1	8597		[卄/園]	園	
00036	M032436	M032436	0	27090		[卄/積]		
00037	M032255	M032255	0	26FC6		[卄/碭]		
00038	M008773	M008773	1	5E00		[一/巾]	匝	
00039	M034205	M034205	1	88A0		[〦/失/(衣-〦)]	袟	
00040	M000262	M000262	1	4E98		[一/旦]		
00041	M046658	M046658	1	9CF0		[入*鳥]		
00042	M001494	M001494	1		517E	[八/異]	冀	
00043	M043347	M043347	0	29454		[乞*頁]		
00044	M032836	M032836	0	459F		[亡/虫]	虻	
00045	M003382	M003382	0	20BD7		[口*(一/巾)]	咂	
00046	M004264	M004264	1	5637		[口*(自/(犀-尸-牛)/十)]	嗥	
00047	M067042	M067042				[口*(隹/乃)]		
00048	M003255	M003255	1	53F6		[口*十]	協	
00049	M003315	M003315	1	5414		[口*也]		
00050	M003296	M003296	0	3567		[口*尸]		
00051	M003322	M003322	1	541A		[口*尹]		
00052	M003364	M003364	1	5432		[口*引]		
00053	M003336	M003336	1	5423		[口*心]	唚	
00054	M003419	M003419	1	544C		[口*斗]	叫	
00055	M003361	M003361	0	356E		[口*父]		
00056	M003479	M003479	1	5483		[口*他]		
00057	M003443	M003443	1	546A		[口*兄]	咒	
00058	M003426	M003426	1	545E		[口*司]	齝	
00059	M050005	M050005	1	549C		[口*它]		
00060	M067841	M067841				[口*斥]		
00061	M003494	M003494	1	548F		[口*永]	詠	
00062	M003533	M003533	1	54A4		[口*宅]		
00063	M003688	M003688	0	20CBF		[口*束]		
00064	M003833	M003833	1	555D		[口*和]		
00065	M059207	M059207	1	556B		[口*者]	嗜	
00066	M003931	M003931	0	35CC		[口*室]		
00067	M004016	M004016	0	20E3B		[口*建]		
00068	M004015	M004015	1	55B0		[口*食]	飧	
00069	M004101	M004101	0	35DA		[口*栗]		
00070	M066116	M066116	0	20E95		[口*留]		
00071	M004099	M004099	1		55DE	[口*茲]		
00072	M004172	M004172	1	5607		[口*參]		
00073	M004178	M004178	1	560A		[口*崖]	啀	
00074	M004225	M004225	0	20F1D		[口*梨]		
00075	M010024	CB0075	0	224AF		[口*(彪-儿+巾)]		
00076	M004306	M004306	1	564D		[口*焦]		
00077	M004324	M004324	1	5654		[口*登]		
00078	M004310	M004310	1	564F		[口*翕]		
00079	M004404	M004404	0	3601		[口*睪]		
00080	M061768	M061768	0	21014		[口*路]		
00081	M004449	M004449	0	3605		[口*銜]	銜	
00082	M004544	M004544	1	56A0		[口*劉]	瀏	
00083	M004529	M004529	0	210A0		[口*蔡]		
00084	M004574	M004574	0	21107		[口*磬]		
00085	M004555	M004555	1	56A9		[口*縛]		
00086	M067008	M067008	0	21197		[口*邏]		
00087	M003452	M003452				[口*呰]		
00088	M003947	M003947	0	35C1		[口*咢]	齶	
00089	M004035	M004035	1	55C1		[口*虒]	啼	
00090	M003980	M003980	0	20DD0		[口*恒]		
00092	M005334	M005334	0	213B0		[土*(尸@辛)]	墀	
00093	M005344	M005344	1	585C		[土*(蒙-卄)]		
00094	M004900	M004900	1	5737		[土*下]		
00095	M004910	M004910	1	5742		[土*反]	阪	
00096	M021447	M021447	0	24B2A		[土*瓦]		
00097	M059312	M059312	1	5813		[土*岸]	岸	
00098	M005311	M005311	0	21394		[土*屋]		
00099	M005327	M005327	1	5850		[土*素]	塑	
00100	M005393	M005393	1	5878		[土*區]		
00101	M005588	M005588	1	58DC		[土*曇]	罈	
00102	M005592	M005592	1	58E0		[土*龍]	壟	
00103	M067842	M067842	0	218F6		[女*(替-曰+貝)]		
00104	M067843	M067843	1		5AD3	[女*((奐-大)/比)]	媲	
00105	M006135	M006135	1	59B7		[女*失]		
00106	M006165	M006165	1	59C9		[女*市]	姊	
00107	M006121	M006121	1	59AC		[女*石]	妒	
00108	M006209	M006209	1	59DF		[女*亥]		
00109	M006248	M006248	1	59F9		[女*宅]	奼	
00110	M007048	M007048	1	5B7E		[孑*嬰]	嬰	
00111	M007498	M007498	1	5C1B		[小/(小*小)]	麼	
00112	M073450	M073450	0	21C31		[尸@工]	尼	
00113	M007713	M007713	1	5C53		[尸@貝]		
00114	M008179	M008179	1	5D15		[山*(崖-山)]	崖	
00115	M008292	M008292	0	37EA		[山*畏]		
00116	M008329	M008329	1	5D60		[山*奚]	谿	
00117	M067844	M067844	0	21F0F		[山*間]	澗	
00118	M008336	M008336	0	21EB2		[山/(阿-可+(峻-山))]	峻	
00119	M059556	M059556	1	5D75		[山/時]		
00120	M008420	M008420	0	21EEC		[山/族]		
00121	M008377	M008377	0	21EBF		[山/陵]		
00122	M059566	M059566	1	5DB6		[山/微]		
00123	M008093	M008093	1	5CEF		[山/夆]	峰	
00124	M009053	M009053	1	5E56		[巾*票]		
00125	M000718	M000718	1	4FE3		[仁-二+(口/天)]	俁	
00126	M054539	M054539	1	4FAB		[仁-二+妄]	佞	
00127	M059077	M059077	1	503F		[仁-二+妾]	佞	
00128	M000764	M000764	0	3466		[仁-二+戾]		
00129	M000731	M000731	0	3465		[仁-二+易]		
00130	M000858	M000858	1	5058		[仁-二+品]		
00131	M000894	M000894	1	5071		[仁-二+盾]		
00132	M072738	CB0132				[仁-二+般]		
00133	M067041	M067041				[仁-二+張]		
00134	M001085	M001085	0	3483		[仁-二+貳]		
00135	M001244	M001244	1	511E		[仁-二+爾]	你	
00136	M001229	M001229	1	5116		[仁-二+監]		
00137	M001259	M001259	1	5128		[仁-二+質]		
00138	M001168	M001168	1	50FC		[仁-二+豊]		
00139		CB0139				[冗-几+(一/豖)]	冢	
00140	M021452	M021452	1	74EB		[分/瓦]	盆	
00141	M002503	M002503	1	5302		[句-口+匕]		
00142	M067301	M067301				[厄*殳]		
00143	M072753	CB0143	1		5963	[夭/明]		
00144	M007511	M007511	0		3779	[少/免]		
00145	M060797	M060797	0	3779		[少/兔]		
00146	M072744	CB0146				[幻-ㄠ+糸]		
00147	M011697	M011697	1	6239		[戶@乙]		
00148	M046687	M046687	1	9CF8		[戶@鳥]	雇	
00149	M013538	M013538	1	65A6		[斤*斤]		
00150	M013835	M013835	1	661E		[日*丙]		
00151	M013897	M013897	1	6648		[日*交]	皎	
00152	M013961	M013961	1	6667		[日*告]	皓	
00153	M014048	M014048	1	668E		[日*英]	映	
00154	M059662	M059662	1	66E2		[日*寮]		
00155	M059121	M059121	1		5190	[曰/月]		
00156	M013860	M013860	1	6630		[曰/正]		
00157	M029811	M029811	1	8193		[殤-歹+月]	腸	
00158	M029296	M029296	1	80A7		[月*不]	胚	
00159	M029304	M029304	1	80AC		[月*尤]	疣	
00160	M050370	M050370	1	8109		[月*永]	脈	
00161		CB0161	1	8103		[月*色]	脆	
00162	M029519	M029519	0	43F2		[月*弟]		
00163	M029714	M029714	0	4417		[月*者]		
00164	M029690	M029690	0	4414		[月*扁]		
00165	M029685	M029685	1	8168		[月*耑]		
00166	M029827	M029827	0	267DB		[月*庸]	傭	
00167	M029820	M029820	1	8196		[月*逢]		
00168	M029953	M029953	1	81C8		[月*葛]		
00169	M029467	M029467	1	8107		[月*劦]	脅	
00170	M029524	M029524	0	43F6		[月*坒]	髀	
00171	M029700	M029700	1	816D		[月*咢]	齶	
00172	M030036	M030036	0	444E		[月*韱]		
00174	M014455	M014455	1	674A		[木*川]		
00175	M014675	M014675	1	67FE		[木*正]	柩	
00176	M014731	M014731	1	6830		[木*伐]		
00177	M014714	M014714	1	6822		[木*百]	柏	
00178	M049171	M049171	0	3B88		[木*奈]		
00179	M015001	M015001	1	6900		[木*宛]	碗	
00180	M015063	M015063	1	6919		[木*昌]		
00181	M015216	M015216	1	6980		[木*品]		
00182	M015250	M015250	1	69A2		[木*家]	架	
00183	M015332	M015332	1	69D2		[木*畜]	慉	
00184	M015306	M015306	1	69C5		[木*鬲]		
00185	M015381	M015381	1	69F5		[木*患]		
00186	M015501	M015501	0	3BD3		[木*翕]		
00187	M012795	M012795	1	64C6		[打-丁+著]		
00188	M015677	M015677	1	6A9D		[木*戢]	楫	
00189	M015754	M015754	1	6AC1		[木*蜜]		
00190	M015098	M015098	0	3B8F		[木*柰]		
00191	M016396	M016396	0	239D1		[歹*凶]	凶	
00192	M016574	M016574	0	23A60		[歹*斯]		
00193	M019453	M019453	0	243D9		[火*(而/而)]	暖	
00194	M019511	M019511	1	71FA		[火*(高/木)]	熇	
00195	M019022	M019022	1	70DF		[火*因]	煙	
00196	M059743	M059743	1	70E5		[火*臣]		
00197	M019072	M019072	0	3DBF		[火*孛]		
00198	M019063	M019063	0	3DBC		[火*矣]		
00199	M019068	M019068	1	7103		[火*赤]		
00200	M059750	M059750	1	713F		[火*庚]		
00201	M019337	M019337	1	71A2		[火*逢]	烽	
00202	M063324	M063324	1	71F6		[火*農]		
00203	M019521	M019521	1	7200		[火*赫]	赫	
00204	M059763	M059763	1	720E		[火*寮]		
00205	M067056	M067056	0	3E0C		[火*霍]		
00206	M019197	M019197	1	7157		[火*耎]	煖	
00207	M019131	M019131	0	242F2		[火*苪]	爇	
00208	M072331	CB0208				[火*烝]		
00209	M019475	M019475	0	3DFF		[火*僉]		
00210	M018854	M018854	1	706E		[火/儿]	光	
00211	M019980	M019980	0	2463D		[牛*句]		
00212	M028445	M028445	0	4367		[牛*羊]	牂	
00213	M020058	M020058	1	7287		[牛/牪]	奔	
00215	M067298	M067298	1		7398	[王*巳]		
00216	M020916	M020916	1	73C9		[王*民]	玟	
00217	M067049	M067049				[王*氐]		
00218	M020959	M020959	0	3EC1		[王*回]		
00219	M020994	M020994	1	73F9		[王*成]		
00220	M020992	M020992	0	3EC9		[王*步]		
00221	M067331	M067331	0	2496D		[王*車]		
00222	M021143	M021143	1	7460		[王*留]	琉	
00223	M021157	M021157	1	746B		[王*舀]		
00224	M067047	M067047				[王*梨]		
00225	M021244	M021244	1	749D		[王*貴]		
00226	M021324	M021324	1	74C8		[王*黎]	璃	
00227	M021336	M021336	1	74CC		[王*褱]	瑰	
00228	M008843	M008843	1	5E12		[代/巾]	袋	
00229	M010494	M010494	1	6031		[匆/心]	匆	
00230	M002856	M002856	1	5374		[去*ㄗ]	卻	
00231	M016030	M016030	0	3C24		[可*欠]		
00232	M043404	M043404	0	29476		[古*頁]		
00233	M012369	M012369	0	22BF5		[打-丁+(目*夬)]		
00234	M012529	M012529	1	643A		[打-丁+(隹/乃)]	攜	
00235	M012377	M012377	0	3A11		[打-丁+(稯-禾)]		
00236	M011865	M011865	1	6285		[打-丁+勾]	拘	
00237	M060109	M060109	0	22AAD		[打-丁+壬]		
00238	M011861	M011861	0	39CC		[打-丁+毛]		
00239	M011843	M011843	1	6278		[打-丁+片]		
00240	M011859	M011859	1	6282		[打-丁+王]		
00241	M011918	M011918	1	62B2		[打-丁+可]		
00242	M011904	M011904	1	62A7		[打-丁+只]		
00243	M011960	M011960	1	62D5		[打-丁+它]	拖	
00244	M011986	M011986	1	62EA		[打-丁+西]		
00245	M012151	M012151	0	22B43		[打-丁+豆]		
00246	M012227	M012227	1	637F		[打-丁+妻]	棲	
00247	M012388	M012388	1	63EC		[打-丁+突]		
00248	M012411	M012411	0	3A16		[打-丁+致]		
00249	M012461	M012461	0	3A1D		[打-丁+屑]		
00250	M012504	M012504	1	6429		[打-丁+桀]		
00251	M012586	M012586	1	645A		[打-丁+堂]		
00252	M012653	M012653	1		647E	[打-丁+強]	弶	
00253	M012692	M012692	0	22D24		[打-丁+棠]	撐	
00254	M012731	M012731	0	3A49		[打-丁+翕]		
00255	M012957	M012957	1	650A		[打-丁+歷]	擽	
00256	M013022	M013022	1	651E		[打-丁+羅]		
00257	M011832	M011832	0	39CA		[打-丁+巿]		
00258	M033533	M033533	1	87C1		[民/(虫*虫)]	蚊	
00259	M021840	M021840	1	7567		[田/各]	略	
00260	M022686	M022686	1	7683		[白/儿]		
00261		CB0261				[目*尤]		
00262	M023247	M023247	1	7724		[目*尼]		
00263	M023433	M023433	0	251D2		[目*妾]	睫	
00264	M023523	M023523	1	777A		[目*侯]		
00265	M023859	M023859	1	77DD		[矛*令]	矜	
00266	M023867	M023867	1	77DF		[矛*肖]	槊	
00267	M023925	M023925	0	408E		[矛*贊]		
00268	M072733	CB0268				[石*((王*巨)/木)]		
00269	M024583	M024583	1	7930		[石*歷]		
00270	M059821	M059821	1	79A3		[示*尃]		
00271	M024954	M024954	1	79D4		[禾*亢]	粳	
00272	M025172	M025172	0	4165		[禾*曷]		
00273	M025369	M025369	0	258EF		[禾*憂]		
00274	M025595	M025595	1	7AB0		[穴/(徭-彳)]	窯	
00275	M025494	M025494	1	7A93		[穴/ㄙ/心]	窗	
00276	M025433	M025433	1	7A7D		[穴/井]	阱	
00277	M025746	M025746	1	7ADB		[立*令]		
00278	M025752	M025752	1	7ADD		[立*立]	並	
00279	M025762	M025762	0	25A73		[立*寺]		
00280	M025744	M025744	1	7ADA		[立*宁]	佇	
00281	M025808	M025808	1	7AF0		[立*厘]		
00282	M000310	M000310	1	7AD2		[立/(可-一)]	奇	
00283	M002334	M002334	1	52B9		[交*力]	效	
00284	M054562	M054562	1	6077		[休/心]		
00285	M001766	M001766	1	51ED		[任/几]	憑	
00286	M000070	M000070	1	4E2A		[企-止+〡]	個	
00287	M001616	M001616	1	51B2		[冰-水+中]	沖	
00288	M001620	M001620	1	51B5		[冰-水+兄]	況	
00289	M001665	M001665	1	51C9		[冰-水+京]	涼	
00290	M044022	M044022	1	98E1		[冰-水+食]	餐	
00291	M029441	M029441	1	80F7		[匈/月]	胸	
00292	M020011	M020011	0	24656		[合*牛]		
00293	M048280	M048280	1	9F04		[朱/黽]		
00294	M026861	M026861	1	7C83		[米*比]		
00295	M026952	M026952	1	7CAE		[米*良]	糧	
00296	M027150	M027150	1	7CE9		[米*會]		
00297	M027415	M027415	1	7D59		[糸*(一/旦)]		
00298	M027564	M027564	1	7DAB		[糸*戔]	線	
00299	M067845	M067845				[羊*(句-口+瓦)]		
00300	M046866	M046866	1	9D39		[羊*鳥]		
00301	M028931	M028931	0	264F7		[耒*芸]	耘	
00302	M029019	M029019	1	803B		[耳*止]	恥	
00303	M029097	M029097	0	2658B		[耳*垂]		
00304	M050380	M050380	0	26900		[自/大]	臭	
00305	M030120	M030120	1	81F0		[自/死]	臭	
00306	M046833	M046833	1	9D44		[至*鳥]	鴟	
00307	M030567	M030567	1	8265		[舟*戢]	楫	
00308	M047591	M047591	1	9E81		[色-巴+鹿]	麤	
00309	M032820	M032820	1	8675		[虫*也]	蛇	
00310	M032991	M032991	1	86D5		[虫*有]	蛔	
00311	M033168	M033168	1	872B		[虫*昆]		
00312	M072797	CB0312	1	8744		[虫*罔]		
00313	M033201	M033201	1	8739		[虫*芮]	蚋	
00314	M033971	M033971	1	8842		[血*刃]	衄	
00315	M001913	M001913	0	34DF		[利-禾+皮]		
00317	M002036	M002036	1	5257		[利-禾+戔]	鏟	
00318	M015324	M015324	1	69D1		[呆*呆]	梅	
00319	M008920	M008920	1	5E2C		[君/巾]	裙	
00320	M028497	M028497	1	7FA3		[君/羊]	群	
00321	M018881	M018881	1	707E		[宋-木+火]	災	
00322	M007273	M007273	0	21A7A		[宋-木+悟]	寣	
00323	M007256	M007256	0	21A61		[宋-木+索]		
00324		CB0324				[宋-木+巢]		
00327	M009575	M009575	1	5EFB		[廷-壬+回]	迴	
00328	M046956	M046956	1	9D5E		[我/鳥]	鵝	
00329	M013156	M013156	1	6542		[改-己+句]	叩	
00330	M002354	M002354	1	52C5		[束*力]	敕	
00331	M061351	M061351	0	235E5		[束*束]	棘	
00332	M050574	M050574	1	983C		[束*頁]	賴	
00333	M020248	M020248	1	72B2		[狂-王+才]	豺	
00334	M020314	M020314	0	3E62		[狂-王+加]		
00335	M020326	M020326	0	24759		[狂-王+巨]	駏	
00336	M020366	M020366	1	72E2		[狂-王+各]	貉	
00337	M020534	M020534	1	732A		[狂-王+者]	豬	
00338	M020525	M020525	1	7328		[狂-王+爰]	猿	
00339	M020535	M020535	1	732B		[狂-王+苗]	貓	
00340	M020668	M020668	0	24863		[狂-王+虛]	驉	
00341	M020715	M020715	0	2488C		[狂-王+禽]		
00342	M020797	M020797	0	248D3		[狂-王+瞿]	玃	
00343	M043501	M043501	0	294BA		[甫*頁]		
00344	M035509	M035509	1	8A90		[言*我]		
00345		CB0345	1	8AE9		[言*並]	譜	
00346	M035590	M035590	1	8AB3		[言*屈]		
00347	M035797	M035797	1	8B0C		[言*哥]	歌	
00348	M035831	M035831	1	8B1F		[言*舀]		
00349	M035955	M035955	0	27B1C		[言*斯]		
00351	M035925	M035925	1	8B3F		[言*朝]	嘲	
00352	M036004	M036004	0	4716		[言*賈]	譚	
00353	M036091	M036091	1	8B81		[言*適]	謫	
00354	M036113	M036113	1	8B87		[言*閻]	諂	
00355	M036164	M036164	1	8B9B		[言*藝]	囈	
00356	M013507	M013507	0	3AB7		[豆*斗]	斗	
00357	M036786	M036786	1	8CD6		[貝*余]	賒	
00358	M038700	M038700	1	8FB5		[足-口+(彰-章)]		
00359	M038058	M038058	1	8EAE		[身*分]		
00360	M038099	M038099	1	8EB6		[身*果]	裸	
00361	M038049	M038049	1	8EAD		[身*冘]	耽	
00362	M038157	M038157	1	8EC6		[身*豊]	體	
00363	M038193	M038193	0	282B0		[車*乞]		
00364	M038359	M038359	1	8F19		[車*取]	輒	
00365	M038412	M038412	1	8F2D		[車*耎]		
00366	M038182	M038182	1	8ECE		[車/口]		
00367	M039926	M039926	1	918E		[酉*咸]		
00368	M072743	CB0368	0	28924		[里*也]		
00369	M027222	M027222	1	7CFA		[乳-孚+糸]	糾	
00370	M032805	M032805	1	866C		[乳-孚+虫]		
00371	M067152	M067152	0	200F5		[乳-孚+卓]	乾	
00372	M047022	M047022	1	9D76		[亞*鳥]	鴉	
00373	M034892	M034892	1	89A5		[典*見]	靦	
00374	M002330	M002330	1	52B5		[券-刀+力]		
00375	M043557	M043557	1	9847		[卒*頁]	悴	
00376	M043535	M043535	0	4ACC		[卑*頁]		
00377	M002366	M002366	1	52CC		[卷*力]		
00378	M010790	M010790	1	60D2		[和/心]	和	
00379	M006150	M006150	1		79F0	[禾*(乞-乙+小)]	稱	
00380	M007479	M007479	1	5C14		[妳-女]	尒	
00381	M027644	M027644	1	7DDC		[帛*系]	綿	
00382	M011133	M011133	1	616F		[怡-台+(殤-歹)]		
00383	M010574	M010574	1	6060		[怡-台+在]	怪	
00384	M010689	M010689	1	60A7		[怡-台+利]	俐	
00385	M010640	M010640	1	608B		[怡-台+吝]	吝	
00386	M010679	M010679	1	609E		[怡-台+吳]	誤	
00387	M010686	M010686	0	22684		[怡-台+牢]		
00388	M010620	M010620	1	607E		[怡-台+芒]		
00389	M010867	M010867	0	2272A		[怡-台+若]		
00390	M011011	M011011	1	6135		[怡-台+弱]		
00391	M010998	M010998	1	6131		[怡-台+疾]		
00392	M011106	M011106	1	6160		[怡-台+敖]	傲	
00393	M011218	M011218	1	6198		[怡-台+喜]		
00394	M011225	M011225	1	619C		[怡-台+隋]	惰	
00395	M011460	M011460	0	22931		[怡-台+龍]		
00396	M010535	M010535	1	604A		[怡-台+劦]		
00397	M011028	M011028	1	613D		[怡-台+尃]	博	
00398	M047036	M047036	1	9D7E		[昆*鳥]	鶤	
00399	M067044	M067044				[果/衣]	裹	
00400	M018245	M018245	0	23F48		[泳-永+(而/而)]	濡	
00401	M017917	M017917	1	6E7C		[泳-永+(臼/工)]	涅	
00402	M018757	M018757	1	704B		[泳-永+(廌/去)]	法	
00403	M017179	M017179	0	3CC2		[泳-永+公]	沿	
00404	M017779	M017779	0	23DFD		[泳-永+侵]	浸	
00405	M018105	M018105	1	6F04		[泳-永+崖]	涯	
00406	M018172	M018172	1	6F44		[泳-永+敕]	漱	
00408	M072737	CB0408				[泳-永+寞]		
00409	M059739	M059739	1	705C		[泳-永+贏]	瀛	
00410	M005204	M005204	1	57FF		[泥/土]	泥	
00412	M010829	M010829	1	60E3		[物/心]	總	
00413	M053306	M053306	1	60B3		[直/心]	德	
00414	M029106	M029106	1	805F		[知/耳]	婿	
00415	M026039	M026039	0	41F7		[竺-二+別]		
00416	M026139	M026139	1		7B92	[竺-二+帚]	帚	
00417	M026255	M026255	1	7BC5		[竺-二+耑]		
00418	M034913	M034913	1	89A9		[者*見]	睹	
00419	M030326	M030326	1	8218		[舍*官]	館	
00420	M055823	M055823	1	90A8		[邱-丘+屯]	村	
00421	M033968	M033968	0	460F		[邱-丘+血]	卹	
00422	M039718	M039718	1	913D		[邱-丘+廛]	廛	
00423	M059966	M059966	1	91F2		[金*巳]		
00424	M040220	M040220	1	920E		[金*勾]	鉤	
00425	M040317	M040317	1	9262		[金*本]	缽	
00426	M040293	M040293	0	28968		[金*矛]	矛	
00427	M040469	M040469	1	92DC		[金*足]		
00428	M040645	M040645	1	936E		[金*俞]		
00429	M040692	M040692	1	938B		[金*害]		
00430	M040770	M040770	1	93C1		[金*巢]	鎖	
00431	M057252	M057252	1	9425		[金*善]		
00432	M041010	M041010	1	945B		[金*廣]	礦	
00433	M040616	M040616	1	9353		[金*咠]	鏶	
00434	M041309	M041309	1	95A6		[門@(人/(人*人))]		
00435	M050601	M050601	1	95D8		[門@(豆*寸)]	鬥	
00436	M041264	M041264	1	9599		[門@市]	鬧	
00437	M041395	M041395	0	28D57		[門@卦]	闕	
00438	M041416	M041416	0	28D66		[門@俞]		
00439	M041481	M041481	0	49B1		[門@為]		
00440	M041490	M041490	0	28DB3		[門@視]		
00441	M041528	M041528	0	28DF2		[門@龠]		
00442	M041601	M041601	1	9641		[阿-可+(施-方)]		
00443	M041727	M041727	1	967F		[阿-可+(匚@夾)]	陜	
00444	M041847	M041847	1	96A3		[阿-可+(嶙-山)]	鄰	
00445	M041805	M041805	0	28ED7		[阿-可+桑]		
00446	M041829	M041829	1	969F		[阿-可+巢]	隙	
00447	M041850	M041850	1	96A5		[阿-可+登]	磴	
00448	M041886	M041886	0	28F41		[阿-可+聚]	陬	
00449	M042333	M042333	1	9714		[雨/注]	澍	
00450	M042387	M042387	0	4A25		[雨/隻]		
00451	M046986	M046986	0	2A08F		[非/鳥]		
00452	M067846	M067846				[亭*也]		
00453	M020539	M020539	1	732E		[南*犬]	獻	
00454		CB0454				[南/無]		
00455	M044682	M044682	1	99DE		[施-方+馬]	駝	
00456	M002504	M002504	1	5303		[曷-曰]		
00457	M017087	M017087	1	6C37		[洗-冼+水]	冰	
00458	M007523	M007523	1	5C20		[甚*少]	尟	
00459	M028539	M028539	0	263A8		[眉*羊]		
00460	M007559	M007559	1	5C2B		[虺-虫+王]	尪	
00461	M042639	M042639	1	9764		[面*包]	皰	
00462	M042838	M042838	1	9795		[革*更]		
00463	M042882	M042882	0	4A6D		[革*奇]	羈	
00464	M042992	M042992	1	97B8		[革*畢]		
00465	M047113	M047113	0	4CEC		[革*鳥]	鷊	
