001##T0001   22,長阿含經                                 ,【後秦 佛陀耶舍共竺佛念譯】
002##T0104    1,佛說法印經                               ,【宋 施護譯】
002##T0105    1,五陰譬喻經                               ,【後漢 安世高譯】
002##T0106    1,佛說水沫所漂經                           ,【東晉 竺曇無蘭譯】
002##T0107    1,佛說不自守意經                           ,【吳 支謙譯】
002##T0108    1,佛說滿願子經                             ,【失譯】
002##T0109    1,佛說轉法輪經                             ,【後漢 安世高譯】
002##T0110    1,佛說三轉法輪經                           ,【唐 義淨譯】
002##T0111    1,佛說相應相可經                           ,【西晉 法炬譯】
002##T0112    1,佛說八正道經                             ,【後漢 安世高譯】
002##T0113    1,佛說難提釋經                             ,【西晉 法炬譯】
002##T0114    1,佛說馬有三相經                           ,【後漢 支曜譯】
002##T0115    1,佛說馬有八態譬人經                       ,【後漢 支曜譯】
002##T0116    1,佛說戒德香經                             ,【東晉 竺曇無蘭譯】
002##T0117    1,佛說戒香經                               ,【宋 法賢譯】
002##T0118    1,佛說鴦掘摩經                             ,【西晉 竺法護譯】
002##T0119    1,佛說鴦崛髻經                             ,【西晉 法炬譯】
002##T0120    4,央掘魔羅經                               ,【劉宋 求那跋陀羅譯】
002##T0121    1,佛說月喻經                               ,【宋 施護譯】
002##T0122    1,佛說波斯匿王太后崩塵土坌身經             ,【西晉 法炬譯】
002##T0123    1,佛說放牛經                               ,【後秦 鳩摩羅什譯】
002##T0124    1,緣起經                                   ,【唐 玄奘譯】
002##T0125   51,增壹阿含經                               ,【東晉 瞿曇僧伽提婆譯】
002##T0126    1,佛說阿羅漢具德經                         ,【宋 法賢譯】
002##T0127    1,佛說四人出現世間經                       ,【劉宋 求那跋陀羅譯】
002##T0128a   1,須摩提女經                               ,【吳 支謙譯】
002##T0128b   1,須摩提女經                               ,【吳 支謙譯】
002##T0129    1,佛說三摩竭經                             ,【吳 竺律炎譯】
002##T0130    3,佛說給孤長者女得度因緣經                 ,【宋 施護譯】
002##T0131    1,佛說婆羅門避死經                         ,【後漢 安世高譯】
002##T0132a   1,佛說食施獲五福報經                       ,【失譯】
002##T0132b   1,施食獲五福報經                           ,【失譯】
002##T0133    1,頻毘娑羅王詣佛供養經                     ,【西晉 法炬譯】
002##T0134    1,佛說長者子六過出家經                     ,【劉宋 慧簡譯】
002##T0135    1,佛說力士移山經                           ,【西晉 竺法護譯】
002##T0136    1,佛說四未曾有法經                         ,【西晉 竺法護譯】
002##T0137    1,舍利弗摩訶目連遊四衢經                   ,【後漢 康孟詳譯】
002##T0138    1,佛說十一想思念如來經                     ,【劉宋 求那跋陀羅譯】
002##T0139    1,佛說四泥犁經                             ,【東晉 竺曇無蘭譯】
002##T0140    1,阿那邠邸化七子經                         ,【後漢 安世高譯】
002##T0141    1,佛說阿速達經                             ,【劉宋 求那跋陀羅譯】
002##T0142a   1,佛說玉耶女經                             ,【失譯】
002##T0142b   1,玉耶女經                                 ,【失譯】
002##T0143    1,玉耶經                                   ,【東晉 竺曇無蘭譯】
002##T0144    1,佛說大愛道般泥洹經                       ,【西晉 白法祖譯】
002##T0145    1,佛母般泥洹經                             ,【劉宋 慧簡譯】
002##T0146    1,舍衛國王夢見十事經                       ,【失譯】
002##T0147    1,佛說舍衛國王十夢經                       ,【失譯】
002##T0148    1,國王不梨先泥十夢經                       ,【東晉 竺曇無蘭譯】
002##T0149    1,佛說阿難同學經                           ,【後漢 安世高譯】
