001##T0001   22,長阿含經                                 ,【後秦 佛陀耶舍共竺佛念譯】
014##T0503    1,比丘避女惡名欲自殺經                     ,【西晉 法炬譯】
014##T0504    1,比丘聽施經                               ,【東晉 曇無蘭譯】
014##T0505    1,佛說隨勇尊者經                           ,【宋 施護等譯】
014##T0506    1,犍陀國王經                               ,【後漢 安世高譯】
014##T0507    1,佛說未生冤經                             ,【吳 支謙譯】
014##T0508    1,阿闍世王問五逆經                         ,【西晉 法炬譯】
014##T0509    1,阿闍世王授決經                           ,【西晉 法炬譯】
014##T0510    1,採花違王上佛授決號妙花經                 ,【東晉 竺曇無蘭譯】
014##T0511    1,佛說蓱沙王五願經                         ,【吳 支謙譯】
014##T0512    1,佛說淨飯王般涅槃經                       ,【劉宋 沮渠京聲譯】
014##T0513    1,佛說琉璃王經                             ,【西晉 竺法護譯】
014##T0514    1,佛說諫王經                               ,【劉宋 沮渠京聲譯】
014##T0515    1,如來示教勝軍王經                         ,【唐 玄奘譯】
014##T0516    1,佛說勝軍王所問經                         ,【宋 施護譯】
014##T0517    1,佛說末羅王經                             ,【劉宋 沮渠京聲譯】
014##T0518    1,佛說旃陀越國王經                         ,【劉宋 沮渠京聲譯】
014##T0519    1,佛說摩達國王經                           ,【劉宋 沮渠京聲譯】
014##T0520    1,佛說薩羅國經                             ,【失譯】
014##T0521    1,佛說梵摩難國王經                         ,【失譯】
014##T0522    1,普達王經                                 ,【失譯】
014##T0523    1,佛說五王經                               ,【失譯】
014##T0524    1,佛為優填王說王法政論經                   ,【唐 不空譯】
014##T0525    1,佛說長者子懊惱三處經                     ,【後漢 安世高譯】
014##T0526    1,佛說長者子制經                           ,【後漢 安世高譯】
014##T0527    1,佛說逝童子經                             ,【西晉 支法度譯】
014##T0528    1,佛說菩薩逝經                             ,【西晉 白法祖譯】
014##T0529    1,佛說阿鳩留經                             ,【失譯】
014##T0530    1,佛說須摩提長者經                         ,【吳 支謙譯】
014##T0531    1,佛說長者音悅經                           ,【吳 支謙譯】
014##T0532    1,私呵昧經                                 ,【吳 支謙譯】
014##T0533    1,菩薩生地經                               ,【吳 支謙譯】
014##T0534    1,佛說月光童子經                           ,【西晉 竺法護譯】
014##T0535    1,佛說申日經                               ,【西晉 竺法護譯】
014##T0536    1,申日兒本經                               ,【劉宋 求那跋陀羅譯】
014##T0537    1,佛說越難經                               ,【西晉 聶承遠譯】
014##T0538    1,佛說呵鵰阿那鋡經                         ,【東晉 竺曇無蘭譯】
014##T0539    1,盧至長者因緣經                           ,【失譯】
014##T0540a   1,佛說樹提伽經                             ,【劉宋 求那跋陀羅譯】
014##T0540b   1,佛說樹提伽經                             ,【劉宋 求那跋陀羅譯】
014##T0541    1,佛說佛大僧大經                           ,【劉宋 沮渠京聲譯】
014##T0542    1,佛說耶祇經                               ,【劉宋 沮渠京聲譯】
014##T0543    3,佛說巨力長者所問大乘經                   ,【宋 智吉祥等譯】
014##T0544    1,辯意長者子經                             ,【後魏 法場譯】
014##T0545    2,佛說德護長者經                           ,【隋 那連提耶舍譯】
014##T0546    1,佛說金耀童子經                           ,【宋 天息災譯】
014##T0547    1,大花嚴長者問佛那羅延力經                 ,【唐 般若共利言譯】
014##T0548    1,佛說金光王童子經                         ,【宋 法賢譯】
014##T0549    4,佛說光明童子因緣經                       ,【宋 施護譯】
014##T0550   12,金色童子因緣經                           ,【宋 惟淨等譯】
014##T0551    1,佛說摩鄧女經                             ,【後漢 安世高譯】
014##T0552    1,佛說摩登女解形中六事經                   ,【失譯】
014##T0553    1,佛說奈女祇域因緣經                       ,【後漢 安世高譯】
014##T0554    1,佛說奈女耆婆經                           ,【後漢 安世高譯】
014##T0555a   1,五母子經                                 ,【吳 支謙譯】
014##T0555b   1,五母子經                                 ,【吳 支謙譯】
014##T0556    1,佛說七女經                               ,【吳 支謙譯】
014##T0557    1,佛說龍施女經                             ,【吳 支謙譯】
014##T0558    1,佛說龍施菩薩本起經                       ,【西晉 竺法護譯】
014##T0559    1,佛說老女人經                             ,【吳 支謙譯】
014##T0560    1,佛說老母女六英經                         ,【劉宋 求那跋陀羅譯】
014##T0561    1,佛說老母經                               ,【失譯】
014##T0562    1,佛說無垢賢女經                           ,【西晉 竺法護譯】
014##T0563    1,佛說腹中女聽經                           ,【北涼 曇無讖譯】
014##T0564    1,佛說轉女身經                             ,【劉宋 曇摩蜜多譯】
014##T0565    2,順權方便經                               ,【西晉 竺法護譯】
014##T0566    1,樂瓔珞莊嚴方便品經                       ,【姚秦 曇摩耶舍譯】
014##T0567    1,佛說梵志女首意經                         ,【西晉 竺法護譯】
014##T0568    1,有德女所問大乘經                         ,【唐 菩提流志譯】
014##T0569    1,佛說心明經                               ,【西晉 竺法護譯】
014##T0570    1,佛說賢首經                               ,【西秦 聖堅譯】
014##T0571    1,佛說婦人遇辜經                           ,【乞伏秦 聖堅譯】
014##T0572    1,佛說長者法志妻經                         ,【失譯】
014##T0573    1,差摩婆帝授記經                           ,【元魏 菩提流支譯】
014##T0574    1,佛說堅固女經                             ,【隋 那連提耶舍譯】
014##T0575    1,佛說大方等修多羅王經                     ,【後魏 菩提流支譯】
014##T0576    1,佛說轉有經                               ,【元魏 佛陀扇多譯】
014##T0577    1,佛說大乘流轉諸有經                       ,【唐 義淨譯】
014##T0578    1,無垢優婆夷問經                           ,【後魏 瞿曇般若流支譯】
014##T0579    2,優婆夷淨行法門經                         ,【失譯】
014##T0580    1,佛說長者女菴提遮師子吼了義經             ,【失譯】
014##T0581    1,佛說八師經                               ,【吳 支謙譯】
014##T0582    1,佛說孫多耶致經                           ,【吳 支謙譯】
014##T0583    1,佛說黑氏梵志經                           ,【吳 支謙譯】
014##T0584    1,長爪梵志請問經                           ,【唐 義淨譯】
015##T0585    4,持心梵天所問經                           ,【西晉 竺法護譯】
015##T0586    4,思益梵天所問經                           ,【姚秦 鳩摩羅什譯】
015##T0587    6,勝思惟梵天所問經                         ,【元魏 菩提流支譯】
015##T0588    4,佛說須真天子經                           ,【西晉 竺法護譯】
015##T0589    1,佛說魔逆經                               ,【西晉 竺法護譯】
015##T0590    1,佛說四天王經                             ,【劉宋 智嚴共寶雲譯】
015##T0591    1,商主天子所問經                           ,【隋 闍那崛多譯】
015##T0592    1,天請問經                                 ,【唐 玄奘譯】
015##T0593    1,佛為勝光天子說王法經                     ,【唐 義淨譯】
015##T0594    1,佛說大自在天子因地經                     ,【宋 施護譯】
015##T0595    1,佛說嗟[革*蔑]曩法天子受三歸依獲免惡道經  ,【宋 法天譯】
015##T0596    1,佛說天王太子辟羅經                       ,【失譯】
015##T0597    1,龍王兄弟經                               ,【吳 支謙譯】
015##T0598    4,佛說海龍王經                             ,【西晉 竺法護譯】
015##T0599    1,佛為海龍王說法印經                       ,【唐 義淨譯】
015##T0600    1,十善業道經                               ,【唐 實叉難陀譯】
015##T0601    1,佛為娑伽羅龍王所說大乘經                 ,【宋 施護譯】
015##T0602    2,佛說大安般守意經                         ,【後漢 安世高譯】
015##T0603    2,陰持入經                                 ,【後漢 安世高譯】
015##T0604    1,佛說禪行三十七品經                       ,【後漢 安世高譯】
015##T0605    1,禪行法想經                               ,【後漢 安世高譯】
015##T0606    7,修行道地經                               ,【西晉 竺法護譯】
015##T0607    1,道地經                                   ,【僧伽羅剎造  後漢 安世高譯】
015##T0608    1,小道地經                                 ,【後漢 支曜譯】
015##T0609    1,禪要經                                   ,【失譯】
015##T0610    1,佛說內身觀章句經                         ,【失譯】
015##T0611    1,法觀經                                   ,【西晉 竺法護譯】
015##T0612    1,身觀經                                   ,【西晉 竺法護譯】
015##T0613    3,禪祕要法經                               ,【姚秦 鳩摩羅什等譯】
015##T0614    2,坐禪三昧經                               ,【姚秦 鳩摩羅什譯】
015##T0615    1,菩薩訶色欲法經                           ,【姚秦 鳩摩羅什譯】
015##T0616    2,禪法要解                                 ,【姚秦 鳩摩羅什譯】
015##T0617    1,思惟略要法                               ,【姚秦 鳩摩羅什譯】
015##T0618    2,達摩多羅禪經                             ,【東晉 佛陀跋陀羅譯】
015##T0619    1,五門禪經要用法                           ,【佛陀蜜多撰  劉宋 曇摩蜜多譯】
015##T0620    2,治禪病祕要法                             ,【劉宋 沮渠京聲譯】
015##T0621    1,佛說佛印三昧經                           ,【後漢 安世高譯】
015##T0622    1,佛說自誓三昧經                           ,【後漢 安世高譯】
015##T0623    1,佛說如來獨證自誓三昧經                   ,【西晉 竺法護譯】
015##T0624    3,佛說伅真陀羅所問如來三昧經               ,【後漢 支婁迦讖譯】
015##T0625    4,大樹緊那羅王所問經                       ,【姚秦 鳩摩羅什譯】
015##T0626    2,佛說阿闍世王經                           ,【後漢 支婁迦讖譯】
015##T0627    3,文殊支利普超三昧經                       ,【西晉 竺法護譯】
015##T0628    6,佛說未曾有正法經                         ,【宋 法天譯】
015##T0629    1,佛說放缽經                               ,【闕譯】
015##T0630    1,佛說成具光明定意經                       ,【後漢 支曜譯】
015##T0631    1,佛說法律三昧經                           ,【吳 支謙譯】
015##T0632    1,佛說慧印三昧經                           ,【吳 支謙譯】
015##T0633    1,佛說如來智印經                           ,【失譯】
015##T0634    5,佛說大乘智印經                           ,【宋 智吉祥等譯】
015##T0635    4,佛說弘道廣顯三昧經                       ,【西晉 竺法護譯】
015##T0636    2,無極寶三昧經                             ,【西晉 竺法護譯】
015##T0637    2,佛說寶如來三昧經                         ,【東晉 祇多蜜譯】
015##T0638    2,佛說超日明三昧經                         ,【西晉 聶承遠譯】
015##T0639   10,月燈三昧經                               ,【高齊 那連提耶舍譯】
015##T0640    1,佛說月燈三昧經                           ,【劉宋 先公譯】
015##T0641    1,佛說月燈三昧經                           ,【劉宋 先公譯】
015##T0642    2,佛說首楞嚴三昧經                         ,【姚秦 鳩摩羅什譯】
015##T0643   10,佛說觀佛三昧海經                         ,【東晉 佛陀跋陀羅譯】
015##T0644    1,佛說金剛三昧本性清淨不壞不滅經           ,【失譯】
015##T0645    1,不必定入定入印經                         ,【元魏 瞿曇般若流支譯】
015##T0646    1,入定不定印經                             ,【唐 義淨譯】
015##T0647    3,力莊嚴三昧經                             ,【隋 那連提耶舍譯】
015##T0648    1,寂照神變三摩地經                         ,【唐 玄奘譯】
015##T0649    4,觀察諸法行經                             ,【隋 闍那崛多譯】
015##T0650    2,諸法無行經                               ,【姚秦 鳩摩羅什譯】
015##T0651    3,佛說諸法本無經                           ,【隋 闍那崛多譯】
015##T0652    3,佛說大乘隨轉宣說諸法經                   ,【宋 紹德等譯】
015##T0653    3,佛藏經                                   ,【姚秦 鳩摩羅什譯】
015##T0654    1,佛說入無分別法門經                       ,【宋 施護譯】
015##T0655    1,佛說勝義空經                             ,【宋 施護等譯】
016##T0656   14,菩薩瓔珞經                               ,【姚秦 竺佛念譯】
016##T0657   10,佛說華手經                               ,【姚秦 鳩摩羅什譯】
016##T0658    7,寶雲經                                   ,【梁 曼陀羅仙譯】
016##T0659    7,大乘寶雲經                               ,【梁 曼陀羅仙共僧伽婆羅譯】
016##T0660   10,佛說寶雨經                               ,【唐 達摩流支譯】
016##T0661    1,大乘百福相經                             ,【唐 地婆訶羅譯】
016##T0662    1,大乘百福莊嚴相經                         ,【唐 地婆訶羅譯】
016##T0663    4,金光明經                                 ,【北涼 曇無讖譯】
016##T0664    8,合部金光明經                             ,【隋 寶貴合】
016##T0665   10,金光明最勝王經                           ,【唐 義淨譯】
016##T0666    1,大方等如來藏經                           ,【東晉 佛陀跋陀羅譯】
016##T0667    1,大方廣如來藏經                           ,【唐 不空譯】
016##T0668    1,佛說不增不減經                           ,【元魏 菩提流支譯】
016##T0669    2,佛說無上依經                             ,【梁 真諦譯】
016##T0670    4,楞伽阿跋多羅寶經                         ,【劉宋 求那跋陀羅譯】
016##T0671   10,入楞伽經                                 ,【元魏 菩提流支譯】
016##T0672    7,大乘入楞伽經                             ,【唐 實叉難陀譯】
016##T0673    2,大乘同性經                               ,【宇文周 闍那耶舍譯】
016##T0674    2,證契大乘經                               ,【唐 地婆訶羅譯】
016##T0675    5,深密解脫經                               ,【元魏 菩提流支譯】
016##T0676    5,解深密經                                 ,【唐 玄奘譯】
016##T0677    1,佛說解節經                               ,【陳 真諦譯】
016##T0678    1,相續解脫地波羅蜜了義經                   ,【劉宋 求那跋陀羅譯】
016##T0679    1,相續解脫如來所作隨順處了義經             ,【劉宋 求那跋陀羅譯】
016##T0680    1,佛說佛地經                               ,【唐 玄奘譯】
016##T0681    3,大乘密嚴經                               ,【唐 地婆訶羅譯】
016##T0682    3,大乘密嚴經                               ,【唐 不空譯】
016##T0683    1,佛說諸德福田經                           ,【西晉 法立法炬共譯】
016##T0684    1,佛說父母恩難報經                         ,【後漢 安世高譯】
016##T0685    1,佛說盂蘭盆經                             ,【西晉 竺法護譯】
016##T0686    1,佛說報恩奉盆經                           ,【失譯】
016##T0687    1,佛說孝子經                               ,【失譯】
016##T0688    1,佛說未曾有經                             ,【失譯】
016##T0689    1,甚希有經                                 ,【唐 玄奘譯】
016##T0690    1,佛說希有挍量功德經                       ,【隋 闍那崛多譯】
016##T0691    1,最無比經                                 ,【唐 玄奘譯】
016##T0692    1,佛說作佛形像經                           ,【闕譯】
016##T0693    1,佛說造立形像福報經                       ,【闕譯】
016##T0694    2,佛說大乘造像功德經                       ,【唐 提雲般若譯】
016##T0695    1,佛說灌洗佛形像經                         ,【西晉 法炬譯】
016##T0696    1,佛說摩訶剎頭經                           ,【西晉 聖堅譯】
016##T0697    1,佛說浴像功德經                           ,【唐 寶思惟譯】
016##T0698    1,浴佛功德經                               ,【唐 義淨譯】
016##T0699    1,佛說造塔功德經                           ,【唐 地婆訶羅譯】
016##T0700    1,右繞佛塔功德經                           ,【唐 實叉難陀譯】
016##T0701    1,佛說溫室洗浴眾僧經                       ,【後漢 安世高譯】
016##T0702    1,佛說施燈功德經                           ,【高齊 那連提耶舍譯】
016##T0703    1,燈指因緣經                               ,【姚秦 鳩摩羅什譯】
016##T0704    1,佛說樓閣正法甘露鼓經                     ,【宋 天息災譯】
016##T0705    1,佛說布施經                               ,【宋 法賢譯】
016##T0706    1,佛說五大施經                             ,【宋 施護等譯】
016##T0707    1,佛說出家功德經                           ,【失譯】
016##T0708    1,了本生死經                               ,【吳 支謙譯】
016##T0709    1,佛說稻[卄/干]經                          ,【闕譯】
016##T0710    1,慈氏菩薩所說大乘緣生稻[卄/幹]喻經        ,【唐 不空譯】
016##T0711    1,大乘舍黎娑擔摩經                         ,【宋 施護譯】
016##T0712    1,佛說大乘稻[卄/干]經                      ,【失譯】
016##T0713    1,貝多樹下思惟十二因緣經                   ,【吳 支謙譯】
016##T0714    1,緣起聖道經                               ,【唐 玄奘譯】
016##T0715    1,佛說舊城喻經                             ,【宋 法賢譯】
016##T0716    2,緣生初勝分法本經                         ,【隋 達摩笈多譯】
016##T0717    2,分別緣起初勝法門經                       ,【唐 玄奘譯】
016##T0718    1,佛說分別緣生經                           ,【宋 法天譯】
016##T0719    2,十二緣生祥瑞經                           ,【宋 施護譯】
016##T0720    3,無明羅剎集                               ,【失譯】
017##T0721   70,正法念處經                               ,【元魏 瞿曇般若流支譯】
017##T0722    8,妙法聖念處經                             ,【宋 法天譯】
017##T0723    1,分別業報略經                             ,【大勇菩薩撰  劉宋 僧伽跋摩譯】
017##T0724    1,佛說罪業應報教化地獄經                   ,【後漢 安世高譯】
017##T0725    1,佛說六道伽陀經                           ,【宋 法天譯】
017##T0726    1,六趣輪迴經                               ,【馬鳴菩薩集  宋 日稱等譯】
017##T0727    1,十不善業道經                             ,【馬鳴菩薩集  宋 日稱等譯】
017##T0728   10,諸法集要經                               ,【觀無畏尊者集  宋 日稱等譯】
017##T0729    1,佛說分別善惡所起經                       ,【後漢 安世高譯】
017##T0730    1,佛說處處經                               ,【後漢 安世高譯】
017##T0731    1,佛說十八泥犁經                           ,【後漢 安世高譯】
017##T0732    1,佛說罵意經                               ,【後漢 安世高譯】
017##T0733    1,佛說堅意經                               ,【後漢 安世高譯】
017##T0734    1,佛說鬼問目連經                           ,【後漢 安世高譯】
017##T0735    1,佛說四願經                               ,【吳 支謙譯】
017##T0736    1,佛說四自侵經                             ,【西晉 竺法護譯】
017##T0737    1,所欲致患經                               ,【西晉 竺法護譯】
017##T0738    1,佛說分別經                               ,【西晉 竺法護譯】
017##T0739    1,佛說慢法經                               ,【西晉 法炬譯】
017##T0740    1,佛說頞多和多耆經                         ,【失譯】
017##T0741    1,五苦章句經                               ,【東晉 竺曇無蘭譯】
017##T0742    1,佛說自愛經                               ,【東晉 竺曇無蘭譯】
017##T0743    1,佛說忠心經                               ,【東晉 竺曇無蘭譯】
017##T0744    1,佛說除恐災患經                           ,【乞伏秦 聖堅譯】
017##T0745    1,佛說雜藏經                               ,【東晉 法顯譯】
017##T0746    1,餓鬼報應經                               ,【失譯】
017##T0747a   1,佛說罪福報應經                           ,【劉宋 求那跋陀羅譯】
017##T0747b   1,佛說輪轉五道罪福報應經                   ,【劉宋 求那跋陀羅譯】
017##T0748    1,佛說護淨經                               ,【失譯】
017##T0749    1,佛說因緣僧護經                           ,【失譯】
017##T0750    1,沙彌羅經                                 ,【失譯】
017##T0751a   1,佛說五無反復經                           ,【劉宋 沮渠京聲譯】
017##T0751b   1,佛說五無返復經                           ,【劉宋 沮渠京聲譯】
017##T0752    1,佛說五無返復經                           ,【劉宋 沮渠京聲譯】
017##T0753    1,十二品生死經                             ,【劉宋 求那跋陀羅譯】
017##T0754    2,佛說未曾有因緣經                         ,【蕭齊 曇景譯】
017##T0755    1,佛說淨意優婆塞所問經                     ,【宋 施護譯】
017##T0756    1,佛說八無暇有暇經                         ,【唐 義淨譯】
017##T0757    1,佛說身毛喜豎經                           ,【宋 惟淨等譯】
017##T0758    1,佛說諸行有為經                           ,【宋 法天譯】
017##T0759    1,佛說較量壽命經                           ,【宋 天息災譯】
017##T0760    1,惟日雜難經                               ,【吳 支謙譯】
017##T0761    6,佛說法集經                               ,【元魏 菩提流支譯】
017##T0762    1,佛說決定義經                             ,【宋 法賢譯】
017##T0763    3,佛說法乘義決定經                         ,【宋 金總持等譯】
017##T0764    1,佛說法集名數經                           ,【宋 施護譯】
017##T0765    7,本事經                                   ,【唐 玄奘譯】
017##T0766    1,佛說法身經                               ,【宋 法賢譯】
017##T0767    1,佛說三品弟子經                           ,【吳 支謙譯】
017##T0768    1,三慧經                                   ,【失譯】
017##T0769    1,佛說四輩經                               ,【西晉 竺法護譯】
017##T0770    1,佛說四不可得經                           ,【西晉 竺法護譯】
017##T0771    1,四品學法經                               ,【劉宋 求那跋陀羅譯】
017##T0772    1,大乘四法經                               ,【唐 地婆訶羅譯】
017##T0773    1,佛說菩薩修行四法經                       ,【唐 地婆訶羅譯】
017##T0774    1,大乘四法經                               ,【唐 實叉難陀譯】
017##T0775    1,佛說四無所畏經                           ,【宋 施護譯】
017##T0776    1,佛說四品法門經                           ,【宋 法賢譯】
017##T0777    1,佛說賢者五福德經                         ,【西晉 白法祖譯】
017##T0778    1,佛說菩薩內習六波羅蜜經                   ,【後漢 嚴佛調譯】
017##T0779    1,佛說八大人覺經                           ,【後漢 安世高譯】
017##T0780    1,佛說十力經                               ,【唐 勿提提犀魚譯】
017##T0781    1,佛說佛十力經                             ,【宋 施護等譯】
017##T0782    1,佛說十號經                               ,【宋 天息災譯】
017##T0783    1,佛說十二頭陀經                           ,【劉宋 求那跋陀羅譯】
017##T0784    1,四十二章經                               ,【後漢 迦葉摩騰共法蘭譯】
017##T0785    1,得道梯橙錫杖經                           ,【失譯】
017##T0786    1,佛說木患子經                             ,【失譯】
017##T0787    1,曼殊室利咒藏中校量數珠功德經             ,【唐 義淨譯】
017##T0788    1,佛說校量數珠功德經                       ,【唐 寶思惟譯】
017##T0789    1,金剛頂瑜伽念珠經                         ,【唐 不空譯】
017##T0790    1,佛說孛經抄                               ,【吳 支謙譯】
017##T0791    1,佛說出家緣經                             ,【後漢 安世高譯】
017##T0792    1,佛說法受塵經                             ,【後漢 安世高譯】
017##T0793    1,佛說佛醫經                               ,【吳 竺律炎共支越譯】
017##T0794a   1,佛說時非時經                             ,【西晉 若羅嚴譯】
017##T0794b   1,佛說時非時經                             ,【西晉 若羅嚴譯】
017##T0795    1,佛治身經                                 ,【失譯】
017##T0796    1,佛說見正經                               ,【東晉 竺曇無蘭譯】
017##T0797a   1,佛說貧窮老公經                           ,【劉宋 慧簡譯】
017##T0797b   1,佛說貧窮老公經                           ,【劉宋 慧簡譯】
017##T0798    1,佛說進學經                               ,【劉宋 沮渠京聲譯】
017##T0799    1,佛說略教誡經                             ,【唐 義淨譯】
017##T0800    1,佛說無上處經                             ,【失譯】
017##T0801    1,佛說無常經                               ,【唐 義淨譯】
017##T0802    1,佛說信解智力經                           ,【宋 法賢譯】
017##T0803    1,佛說清淨心經                             ,【宋 施護等譯】
017##T0804    1,佛說解憂經                               ,【宋 法天譯】
017##T0805    1,佛說栴檀樹經                             ,【失譯】
017##T0806    1,佛說枯樹經                               ,【】
017##T0807    1,佛說內藏百寶經                           ,【後漢 支婁迦讖譯】
017##T0808    1,佛說犢子經                               ,【吳 支謙譯】
017##T0809    1,佛說乳光佛經                             ,【西晉 竺法護譯】
017##T0810    2,諸佛要集經                               ,【西晉 竺法護譯】
017##T0811    1,佛說決定總持經                           ,【西晉 竺法護譯】
017##T0812    1,菩薩行五十緣身經                         ,【西晉 竺法護譯】
017##T0813    1,佛說無希望經                             ,【西晉 竺法護譯】
017##T0814    1,佛說象腋經                               ,【劉宋 曇摩蜜多譯】
017##T0815    3,佛昇忉利天為母說法經                     ,【西晉 竺法護譯】
017##T0816    4,佛說道神足無極變化經                     ,【西晉 安法欽譯】
017##T0817    1,佛說大淨法門經                           ,【西晉 竺法護譯】
017##T0818    2,大莊嚴法門經                             ,【隋 那連提耶舍譯】
017##T0819    1,佛說法常住經                             ,【失譯】
017##T0820    1,佛說演道俗業經                           ,【乞伏秦 聖堅譯】
017##T0821    2,大方廣如來祕密藏經                       ,【失譯】
017##T0822    1,佛說諸法勇王經                           ,【劉宋 曇摩蜜多譯】
017##T0823    1,佛說一切法高王經                         ,【元魏 瞿曇般若流支譯】
017##T0824    1,諸法最上王經                             ,【隋 闍那崛多譯】
017##T0825    1,佛說甚深大迴向經                         ,【失譯】
017##T0826    1,弟子死復生經                             ,【劉宋 沮渠京聲譯】
017##T0827    1,佛說懈怠耕者經                           ,【劉宋 惠簡譯】
017##T0828    1,無字寶篋經                               ,【元魏 菩提流支譯】
017##T0829    1,大乘離文字普光明藏經                     ,【唐 地婆訶羅譯】
017##T0830    1,大乘遍照光明藏無字法門經                 ,【唐 地婆訶羅再譯】
017##T0831    1,謗佛經                                   ,【元魏 菩提流支譯】
017##T0832    1,佛語經                                   ,【元魏 菩提流支譯】
017##T0833    1,第一義法勝經                             ,【元魏 瞿曇般若流支譯】
017##T0834    1,大威燈光仙人問疑經                       ,【隋 闍那崛多等譯】
017##T0835    1,如來師子吼經                             ,【元魏 佛陀扇多譯】
017##T0836    1,大方廣師子吼經                           ,【唐 地婆訶羅譯】
017##T0837    1,佛說出生菩提心經                         ,【隋 闍那崛多譯】
017##T0838    2,佛說發菩提心破諸魔經                     ,【宋 施護譯】
017##T0839    2,占察善惡業報經                           ,【隋 菩提燈譯】
017##T0840    1,稱讚大乘功德經                           ,【唐 玄奘譯】
017##T0841    1,說妙法決定業障經                         ,【唐 智嚴譯】
017##T0842    1,大方廣圓覺修多羅了義經                   ,【唐 佛陀多羅譯】
017##T0843    3,佛說大乘不思議神通境界經                 ,【宋 施護譯】
017##T0844    1,佛說大方廣未曾有經善巧方便品             ,【宋 施護譯】
017##T0845    1,佛說尊那經                               ,【宋 法賢譯】
017##T0846    1,外道問聖大乘法無我義經                   ,【宋 法天譯】
017##T0847    3,大乘修行菩薩行門諸經要集                 ,【唐 智嚴譯】
018##T0848    7,大毘盧遮那成佛神變加持經                                                           ,【唐 善無畏一行譯】
018##T0849    1,大毘盧遮那佛說要略念誦經                                                           ,【唐 菩提金剛譯】
018##T0850    3,攝大毘盧遮那成佛神變加持經入蓮華胎藏海會悲生曼荼[打-丁+羅]廣大念誦儀軌供養方便會   ,【唐 輸婆迦羅譯】
018##T0851    3,大毘盧遮那經廣大儀軌                                                               ,【唐 善無畏譯】
018##T0852a   2,大毘盧遮那成佛神變加持經蓮華胎藏悲生曼荼羅廣大成就儀軌供養方便會                   ,【唐 法全撰】
018##T0852b   2,大毘盧舍那成佛神變加持經蓮華胎藏悲生曼荼羅廣大成就儀軌                             ,【】
018##T0853    3,大毘盧遮那成佛神變加持經蓮華胎藏菩提幢標幟普通真言藏廣大成就瑜伽                   ,【唐 法全集】
018##T0854    2,胎藏梵字真言                                                                       ,【失譯】
018##T0855    1,青龍寺軌記                                                                         ,【】
018##T0856    1,大毘盧遮那成佛神變加持經略示七支念誦隨行法                                         ,【唐 不空譯】
018##T0857    1,大日經略攝念誦隨行法(亦名五支略念誦要行法)                                         ,【唐 不空譯】
018##T0858    1,大毘盧遮那略要速疾門五支念誦法                                                     ,【】
018##T0859    1,供養儀式                                                                           ,【】
018##T0860    1,大日經持誦次第儀軌                                                                 ,【】
018##T0861    1,毘盧遮那五字真言修習儀軌                                                           ,【唐 不空譯】
018##T0862    1,阿闍梨大曼荼[打-丁+羅]灌頂儀軌                                                     ,【】
018##T0863    1,大毘盧遮那經阿闍梨真實智品中阿闍梨住阿字觀門                                       ,【唐 惟謹述】
018##T0864A   1,大日如來劍印                                                                       ,【】
018##T0864B   1,胎藏金剛教法名號                                                                   ,【唐 義操集】
018##T0865    3,金剛頂一切如來真實攝大乘現證大教王經                                               ,【唐 不空譯】
018##T0866    4,金剛頂瑜伽中略出念誦經                                                             ,【唐 金剛智譯】
018##T0867    2,金剛峰樓閣一切瑜伽瑜祇經                                                           ,【唐 金剛智譯】
018##T0868    3,諸佛境界攝真實經                                                                   ,【唐 般若譯】
018##T0869    1,金剛頂經瑜伽十八會指歸                                                             ,【唐 不空譯】
018##T0870    1,略述金剛頂瑜伽分別聖位修證法門                                                     ,【唐 不空譯】
018##T0871    1,金剛頂瑜伽略述三十七尊心要                                                         ,【唐 不空譯】
018##T0872    1,金剛頂瑜伽三十七尊出生義                                                           ,【唐 不空譯】
018##T0873    1,金剛頂蓮華部心念誦儀軌                                                             ,【唐 不空譯】
018##T0874    2,金剛頂一切如來真實攝大乘現證大教王經                                               ,【唐 不空譯】
018##T0875    1,蓮華部心念誦儀軌                                                                   ,【失譯】
018##T0876    1,金剛頂瑜伽修習毘盧遮那三摩地法                                                     ,【唐 金剛智譯】
018##T0877    1,金剛頂經毘盧遮那一百八尊法身契印                                                   ,【唐 善無畏．一行譯】
018##T0878    1,金剛頂經金剛界大道場毘盧遮那如來自受用身內證智眷屬法身異名佛最上乘祕密三摩地禮懺文 ,【唐 不空譯】
018##T0879    1,金剛頂瑜伽三十七尊禮                                                               ,【唐 不空譯】
018##T0880    1,瑜伽金剛頂經釋字母品                                                               ,【唐 不空譯】
018##T0881    1,賢劫十六尊                                                                         ,【】
018##T0882   30,佛說一切如來真實攝大乘現證三昧大教王經                                             ,【宋 施護等譯】
018##T0883    4,佛說祕密三昧大教王經                                                               ,【宋 施護等譯】
018##T0884    3,佛說祕密相經                                                                       ,【宋 施護等譯】
018##T0885    7,佛說一切如來金剛三業最上祕密大教王經                                               ,【宋 施護譯】
018##T0886    1,佛說金剛場莊嚴般若波羅蜜多教中一分                                                 ,【宋 施護譯】
018##T0887    6,佛說無二平等最上瑜伽大教王經                                                       ,【宋 施護譯】
018##T0888    2,一切祕密最上名義大教王儀軌                                                         ,【宋 施護譯】
018##T0889    5,一切如來大祕密王未曾有最上微妙大曼拏羅經                                           ,【宋 天息災譯】
